date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
25-01-2024,1647,1677,1636.050049,1664.8,1088872,1632.55,1652.9,1420.81,1188.61,211,Uptrend for long term,Hold,Hold
29-01-2024,1684.949951,1750,1673.449951,1715.5,3435566,1639.51,1660.62,1436.32,1196.06,212,Uptrend for long term,Hold,Hold
30-01-2024,1720,1722,1674,1679.45,992518,1648.71,1664.74,1450.9,1203.57,213,Uptrend for long term,Hold,Hold
31-01-2024,1680,1694.900024,1665.050049,1669.45,802666,1660.31,1668.3,1465.47,1210.77,214,Uptrend for long term,Hold,Hold
01-02-2024,1689,1706,1655.650024,1665.95,1735338,1673.91,1671.42,1480.06,1217.84,215,Uptrend for long term,Short term Buy,Hold
02-02-2024,1681.900024,1698.949951,1663.849976,1674.25,946215,1672.96,1670.27,1495.02,1224.96,216,Uptrend for long term,Hold,Hold
05-02-2024,1684,1698,1651.599976,1668.65,1070961,1676.86,1669.07,1509.87,1231.59,217,Uptrend for long term,Hold,Hold
06-02-2024,1668.650024,1744.949951,1653,1721.65,1975868,1684.99,1671.46,1526.01,1238.78,218,Uptrend for long term,Hold,Hold
07-02-2024,1749.5,1990,1746,1866,8925796,1706.49,1680.75,1544.72,1247.43,219,Uptrend for long term,Hold,Hold
08-02-2024,1884.099976,1918,1820,1827.95,1698528,1727.7,1687.98,1562.52,1255.56,220,Uptrend for long term,Hold,Hold
09-02-2024,1836.900024,1918,1805.550049,1880.7,3159808,1757.88,1695.85,1579.07,1264.32,221,Uptrend for long term,Hold,Hold
